English,Marathi
Go.,जा.
Run!,पळ!
Run!,धाव!
Run!,पळा!
Run!,धावा!
Who?,कोण?
Wow!,वाह!
Duck!,खाली वाका!
Fire!,आग!
Fire!,फायर!
Help!,वाचवा!
Help!,वाचव!
Jump!,उडी मार!
Jump!,उडी मारा!
Jump.,उडी मार.
Jump.,उडी मारा.
Stop!,थांबा!
Stop!,थांब!
Wait!,थांबा!
Wait!,थांब!
Wait.,थांब.
Wait.,थांबा.
Hello!,हॅलो!
Hurry!,लवकर!
Hurry!,लवकर कर!
Hurry!,लवकर करा!
I won!,मी जिंकलो!
I won!,मी जिंकले!
Exhale.,श्वास बाहेर सोड.
Exhale.,श्वास बाहेर सोडा.
Get up.,ऊठ.
Got it!,पकडलं!
Got it?,कळलं?
Got it?,समजलं?
Got it?,कळलं का?
Got it?,समजलं का?
He ran.,तो पळाला.
He ran.,ते पळाले.
He ran.,तो धावला.
He ran.,ते धावले.
I fell.,मी पडलो.
I fell.,मी पडले.
I fell.,पडलो.
I fell.,पडले.
I know.,मला माहीत आहे.
I know.,माहितीये.
I know.,माहीत आहे.
I lost.,मी हरलो.
I lost.,मी हरले.
I spit.,मी थुकतो.
I spit.,मी थुकते.
I work.,मी काम करतो.
I work.,मी काम करते.
I'm OK.,मी ठीक आहे.
Inhale.,श्वास आत घे.
Inhale.,श्वास आत घ्या.
Listen.,ऐक.
Listen.,ऐका.
No way!,शक्यच नाही!
Really?,खरोखर?
Really?,खरंच?
Really?,खरंच का?
Thanks.,धन्यवाद.
We won.,आम्ही जिंकलो.
We won.,आपण जिंकलो.
Why me?,मीच का?
Why me?,मी का?
Ask Tom.,टॉमला विचार.
Ask Tom.,टॉमला विचारा.
Call me.,मला बोलव.
Call me.,मला बोलवा.
Call me.,मला फोन करा.
Call me.,मला फोन कर.
Call us.,आम्हाला फोन कर.
Call us.,आम्हाला फोन करा.
Come in.,आत ये.
Come on!,चल!
Come on!,चला!
Fold it.,घडी घाल.
Fold it.,घडी घाला.
Get Tom.,टॉमला घे.
Get Tom.,टॉमला आण.
Get Tom.,टॉमला पकड.
Get out.,बाहेर हो.
Get out.,बाहेर व्हा.
Go home.,घरी जा.
He came.,तो आला.
He came.,ते आले.
He left.,तो निघाला.
He left.,ते निघाले.
He runs.,तो पळतो.
He runs.,ते पळतात.
He runs.,तो धावतो.
He runs.,ते धावतात.
Help me!,वाचवा!
Help me!,वाचव!
Help me!,माझी मदत करा!
Help me.,मला वाचव.
Help me.,मला वाचवा.
Help us.,आमची मदत करा.
Help us.,आमची मदत कर.
Help us.,आम्हाला वाचव.
I waved.,मी हात हलवला.
I'm Tom.,मी टॉम.
I'm Tom.,टॉम मीच.
I'm Tom.,मी टॉम आहे.
I'm fat.,मी जाडा आहे.
I'm fat.,मी जाडी आहे.
I'm ill.,मी आजारी आहे.
It's OK.,ठीक आहे.
It's me!,मी आहे!
It's me.,मी आहे.
"Me, too.",मी पण.
"Me, too.",मला पण.
Open up.,उघड.
Open up.,उघडा.
Perfect!,परिपूर्ण!
Show me.,मला दाखव.
Show me.,मला दाखवा.
Shut up!,गप्प!
Shut up!,गप्प हो!
Shut up!,गप्प व्हा!
Tell me.,मला सांग.
Tell me.,मला सांगा.
Tom ran.,टॉम पळाला.
Tom ran.,टॉम धावला.
Tom won.,टॉम जिंकला.
Wake up!,जागे व्हा!
Wake up!,जागा हो!
Wake up!,जागी हो!
We care.,आम्हाला काळजी आहे.
We care.,आपल्याला काळजी आहे.
We know.,आम्हाला माहीत आहे.
We know.,आपल्याला माहीत आहे.
We lost.,आम्ही हरलो.
We lost.,आपण हरलो.
Welcome.,स्वागत!
Welcome.,स्वागत.
Welcome.,सुस्वागतम!
Welcome.,सुस्वागतम.
Who ate?,कोणी खाल्लं?
Who ran?,कोण पळालं?
Who ran?,कोण धावलं?
Who won?,कोण जिंकलं?
Why not?,का नाही?
You won.,तू जिंकलास.
You won.,तू जिंकलीस.
You won.,तुम्ही जिंकलात.
Back off!,हट!
Be quiet.,शांत हो.
Be quiet.,शांत व्हा.
Beats me.,काय माहीत.
Beats me.,कोणास ठाऊक.
Call Tom.,टॉमला बोलव.
Call Tom.,टॉमला बोलवा.
Call Tom.,टॉमला फोन कर.
Call Tom.,टॉमला फोन करा.
Get down.,खाली हो.
Go there.,तिथे जा.
Grab Tom.,टॉमला पकड.
Grab Tom.,टॉमला पकडा.
Grab him.,पकडा त्याला.
Have fun.,मजा कर.
He spoke.,तो बोलला.
He spoke.,ते बोलले.
I burped.,मी ढेकर दिला.
I can go.,मी जाऊ शकतो.
I can go.,मी जाऊ शकते.
I forgot.,मी विसरलो.
I forgot.,मी विसरले.
I got it.,समजलं.
I got it.,मिळालं.
I looked.,मी बघितलं.
I looked.,मी पाहिलं.
I phoned.,मी फोन केला.
I prayed.,मी प्रार्थना केली.
I shaved.,मी दाढी केली.
I talked.,मी बोललो.
I talked.,मी बोलले.
I use it.,मी ते वापरतो.
I use it.,मी ते वापरते.
I waited.,मी थांबलो.
I waited.,मी थांबले.
I waited.,मी वाट बघितली.
I waited.,मी वाट पाहिली.
I waited.,मी प्रतीक्षा केली.
I'll try.,मी प्रयत्न करेन.
I'm fine.,मी बरा आहे.
I'm fine.,मी बरी आहे.
I'm full.,माझं पोट भरलंय.
I'm game.,मी तयार आहे.
I'm home.,मी घरी आलोय.
I'm home.,मी घरी आलेय.
I'm late.,मला उशीर झाला.
I'm lazy.,मी आळशी आहे.
I'm poor.,मी गरीब आहे.
I've won.,मी जिंकलोय.
I've won.,मी जिंकलेय.
It's hot.,गरम आहे.
It's new.,नवीन आहे.
It's new.,ते नवीन आहे.
It's old.,जुनं आहे.
It's old.,जुना आहे.
It's old.,जुनी आहे.
It's red.,लाल आहे.
Kiss Tom.,टॉमला किस कर.
Leave it.,सोड.
Leave it.,सोडा.
Leave it.,ते सोड.
Leave it.,ते सोडा.
Leave me.,मला सोड.
Leave me.,मला सोडून जा.
Leave me.,मला सोडा.
Let's go.,चल.
Let's go.,चला.
Let's go.,चल जाऊया.
Look out!,सांभाळ!
Marry me.,माझ्याशी लग्न कर.
Marry me.,माझ्याबरोबर लग्न करा.
Prove it.,सिद्ध कर.
Prove it.,सिद्ध करा.
Prove it.,सिद्ध करून दाखव.
Prove it.,सिद्ध करून दाखवा.
She came.,ती आली.
She came.,त्या आल्या.
She died.,ती मेली.
She died.,त्या मेल्या.
She died.,ती वारली.
She died.,त्या वारल्या.
Sit down!,खाली बस!
Sit down!,खाली बसा!
Sit here.,इथे बस.
Sit here.,इथे बसा.
Stand up!,ऊठ!
Stand up!,ऊभी हो!
Stand up!,ऊभे व्हा!
Stop Tom.,टॉमला थांबव.
Stop Tom.,टॉमला थांबवा.
Terrific!,झकास!
They won.,ते जिंकले.
They won.,त्या जिंकल्या.
Tom came.,टॉम आला.
Tom died.,टॉम मेला.
Tom fell.,टॉम पडला.
Tom knew.,टॉमला माहीत होतं.
Tom left.,टॉम सोडून गेला.
Tom left.,टॉम निघाला.
Tom left.,टॉम निघून गेला.
Tom lied.,टॉम खोटं बोलला.
Tom lies.,टॉम खोटं बोलतो.
Tom lost.,टॉम हरला.
Tom wept.,टॉम रडला.
Tom's up.,टॉम उठला आहे.
Use this.,हे वापर.
Use this.,हे वापरा.
Visit us.,आम्हाला भेटायला ये.
Visit us.,आम्हाला भेटायला या.
Warn Tom.,टॉमला सावध कर.
Warn Tom.,टॉमला सावध करा.
Watch me.,मला बघ.
Watch me.,मला बघा.
Watch us.,आम्हाला बघ.
Watch us.,आम्हाला बघा.
We'll go.,आम्ही जाऊ.
We'll go.,आपण जाऊ.
What for?,कशासाठी?
What for?,कशाकरिता?
Who am I?,मी कोण आहे?
Who came?,कोण आलं?
Who died?,कोण मेलं?
Who fell?,कोण पडलं?
Who's he?,तो कोण आहे?
Who's he?,ते कोण आहेत?
You fool!,मूर्खा!
Am I late?,मला उशीर झाला आहे का?
Answer me.,मला उत्तर दे.
Answer me.,मला उत्तर द्या.
Birds fly.,पक्षी उडतात.
Calm down!,शांत हो!
Catch him.,त्याला पकड.
Catch him.,त्याला पकडा.
Catch him.,त्यांना पकड.
Catch him.,त्यांना पकडा.
Come here.,इथे ये.
Come here.,इथे या.
Come home.,घरी या.
Come home.,घरी ये.
Did I win?,मी जिंकलो का?
Did I win?,मी जिंकले का?
Dogs bark.,कुत्रे भुंकतात.
Don't ask.,विचारू नका.
Don't ask.,विचारू नकोस.
Don't cry.,रडू नकोस.
Don't cry.,रडू नका.
Don't die.,मरू नकोस.
Don't die.,मरू नका.
Don't lie.,खोटं बोलू नकोस.
Don't lie.,खोटं बोलू नका.
Don't run.,पळू नकोस.
Don't run.,धावू नकोस.
Don't run.,पळू नका.
Don't run.,धावू नका.
Forget it.,विसर.
Forget it.,विसरून जा.
Forget me.,मला विसरून जा.
Get ready.,तयार हो.
Go inside.,आत जा.
Grab that.,ते घ्या.
Grab that.,ते घे.
Grab that.,ते पकड.
Grab that.,ते पकडा.
Grab this.,हे पकड.
Grab this.,हे पकडा.
He is ill.,तो आजारी आहे.
He is ill.,ते आजारी आहेत.
He's a DJ.,तो डीजे आहे.
He's a DJ.,ते डीजे आहेत.
He's mine.,तो माझा आहे.
He's mine.,ते माझे आहेत.
He's sexy.,तो सेक्सी आहे.
He's sexy.,तो सेक्सी असतो.
Hold this.,हे धर.
Hold this.,हे धरा.
How is it?,कसं आहे?
How is it?,कसा आहे?
How is it?,कशी आहे?
How's Tom?,टॉम कसा आहे?
I can run.,मला पळता येतं.
I can run.,मला धावता येतं.
I can run.,मी धावू शकतो.
I can run.,मी पळू शकतो.
I can run.,मी धावू शकते.
I can run.,मी पळू शकते.
I can ski.,मला स्की करता येतं.
I can ski.,मी स्की करू शकतो.
I can ski.,मी स्की करू शकते.
I can win.,मी जिंकू शकतो.
I can win.,मी जिंकू शकते.
I fainted.,मला चक्कर आली.
I got fat.,मी जाडा झालो.
I got fat.,मी जाडी झाले.
I hit Tom.,मी टॉमला मारलं.
I hit Tom.,मी टॉमला मारतो.
I hit Tom.,मी टॉमला मारते.
I laughed.,मी हसलो.
I laughed.,मी हसले.
I met him.,मी त्याला भेटलो.
I met him.,मी त्याला भेटले.
I saw Tom.,मी टॉमला पाहिलं.
I saw Tom.,मी टॉमला बघितलं.
I saw Tom.,मला टॉम दिसला.
I saw one.,मला एक दिसला.
I saw one.,मला एक दिसलं.
I saw one.,मला एक दिसली.
I saw you.,मी तुला बघितलं.
I saw you.,मी तुला पाहिलं.
I saw you.,मी तुम्हाला बघितलं.
I saw you.,मी तुम्हाला पाहिलं.
I shouted.,मी ओरडलो.
I shouted.,मी ओरडले.
I want it.,मला हवं आहे.
I want it.,मला हवा आहे.
I want it.,मला हवी आहे.
I want it.,मला पाहिजे.
I will go.,मी जाईन.
I'll call.,मी फोन करेन.
I'll help.,मी मदत करेन.
I'll lose.,मी हरेन.
I'll sing.,मी गाईन.
I'll stop.,मी थांबेन.
I'll talk.,मी बोलेन.
I'll walk.,मी चालेन.
I'll work.,मी काम करेन.
I'm a man.,मी माणुस आहे.
I'm a man.,मी पुरुष आहे.
I'm awake.,मी जागा आहे.
I'm awake.,मी जागी आहे.
I'm bored.,मला कंटाळा आला आहे.
I'm clean.,मी साफ आहे.
I'm dying.,मी मरतोय.
I'm dying.,मी मरतेय.
I'm going.,मी जातोय.
I'm going.,मी जातेय.
I'm quiet.,मी शांत आहे.
